Cnumber,Taxonkey,Species,SubUnit,Longitude,Latitude,EEZID,EEZ_Name,Entity_ID,SubEntity_ID,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
8,690219,Penaeus japonicus,Lushnje,19.475974,40.967918,8,Albania,1,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,690219,Penaeus japonicus,Sarande,19.909584,39.907359,8,Albania,1,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,690219,Penaeus japonicus,Shkoder,19.460416,41.85625,8,Albania,1,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,690219,Penaeus japonicus,Vlore,19.400958,40.502624,8,Albania,1,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,690241,Mytilus galloprovincialis,Durres,19.474583,41.446803,8,Albania,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,690241,Mytilus galloprovincialis,Fier,19.370971,40.773194,8,Albania,1,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,690241,Mytilus galloprovincialis,Kavaje,19.48014,41.185138,8,Albania,1,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,690241,Mytilus galloprovincialis,Kurbin,19.57236,41.630139,8,Albania,1,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,690241,Mytilus galloprovincialis,Lezhe,19.57236,41.750138,8,Albania,1,294,2.031205841,2.383779775,2.459413044,2.78088451,2.534275433,2.40068001,2.100643535,3.492882349,2.927458192,2.431339838,2.391262479,1.655371622,1.641469268,2.276195435,1.594760612,2.291493791,1.679074631,2.356257187,1.682765567,1.91467747,1.751520974,1.508092345,1.80435256,1.78716746,1.848544829,1.360316572
8,690241,Mytilus galloprovincialis,Lushnje,19.475974,40.967918,8,Albania,1,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,690241,Mytilus galloprovincialis,Sarande,19.909584,39.907359,8,Albania,1,508,2.031205841,2.383779775,2.459413044,2.78088451,2.534275433,2.40068001,2.100643535,3.492882349,2.927458192,2.431339838,2.391262479,1.655371622,1.641469268,2.276195435,1.594760612,2.291493791,1.679074631,2.356257187,1.682765567,1.91467747,1.751520974,1.508092345,1.80435256,1.78716746,1.848544829,1.360316572
8,690241,Mytilus galloprovincialis,Shkoder,19.460416,41.85625,8,Albania,1,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,690241,Mytilus galloprovincialis,Vlore,19.400958,40.502624,8,Albania,1,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,400359,Mugilidae,Annaba - Mellah Lagoon/Lake,8.212916,36.946251,12,Algeria,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74395046,10.61466892,9.811927364,9.030438189,4.961538939,4.98282552,4.55595688,9.928291814,7.731953232,9.462044931,16.13224757,18.60926218
12,600035,Anguilla anguilla,Annaba - Mellah Lagoon/Lake,8.212916,36.946251,12,Algeria,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48790092,21.22933785,19.62385473,18.06087638,4.961538939,5.663580418,5.315191534,0,4.348473421,0,0,0
12,600063,Dicentrarchus labrax,Annaba - Mellah Lagoon/Lake,8.212916,36.946251,12,Algeria,2,32,18.76525428,13.74745869,14.04953212,13.53408884,17.38495371,18.76551458,17.69765159,17.73166181,0,0,0,0,0,18.37232175,15.65860061,0,0,15.05073031,19.84615576,28.17050631,22.78868122,19.67559301,18.6618562,15.42958463,22.44550547,29.7515543
12,601164,Sparus auratus,Annaba - Mellah Lagoon/Lake,8.212916,36.946251,12,Algeria,2,32,11.0546417,15.85361531,0,15.36301977,19.55807293,0,0,0,19.77594499,20.52814957,18.4258026,19.42721732,20.09036186,18.37232175,15.65860061,14.1528919,0,0,17.36538629,28.27391852,24.68623143,19.74053328,19.1297722,11.24143774,26.02695053,33.47047357
12,690070,Penaeus kerathurus,Annaba - Mellah Lagoon/Lake,8.212916,36.946251,12,Algeria,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.07747747,70.54232951,0,0,0,0
12,690166,Ruditapes decussatus,Annaba - Mellah Lagoon/Lake,8.212916,36.946251,12,Algeria,2,32,12.50556342,18.18953448,18.22642005,17.55773688,20.86194446,22.51861749,21.23718191,21.27799418,21.65936833,23.94950783,22.11096312,21.85561949,22.6016571,20.66886197,0,0,0,0,0,0,0,0,0,0,0,0
12,690241,Mytilus galloprovincialis,Annaba - Mellah Lagoon/Lake,8.212916,36.946251,12,Algeria,2,32,10.94212124,10.56070012,10.43998619,9.404769245,11.30021991,11.72844661,11.50347354,11.52558018,0,12.70790212,11.51612662,12.62769126,13.05873521,11.94200914,7.829300307,7.07644595,6.541284909,6.020292126,8.688109668,10.90324189,9.500714836,11.48212695,9.968434598,9.883649205,11.32105795,14.87407242
12,690283,Crassostrea gigas,Annaba - Mellah Lagoon/Lake,8.212916,36.946251,12,Algeria,2,32,9.672811488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.486486822,0,9.534208494,0,0,6.250181194,0,0
32,690053,Mytilus edulis,Buenos Aires,-57.479584,-37.814305,32,Argentina,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,690053,Mytilus edulis,Chubut,-64.569581,-42.491527,32,Argentina,3,121,0,0,0,0,0,0,0,0,0,4.569046728,3.083360891,2.391425185,1.859854273,2.108863118,1.83067723,2.691215729,2.566078164,2.322853148,1.660905942,1.709524335,6.868690817,6.758171748,5.6334298,5.153572812,5.02070564,5.335047583
32,690053,Mytilus edulis,Rio Negro,-65.156525,-40.96264,32,Argentina,3,492,0,0,0,0,0,0,0,0,0,4.569046728,3.083360891,2.391425185,1.859854273,2.108863118,1.83067723,2.691215729,2.566078164,2.322853148,1.660905942,1.709524335,6.868690817,6.758171748,5.6334298,5.153572812,5.02070564,5.335047583
32,690053,Mytilus edulis,Tierra de Fuego,-66.981392,-54.172359,32,Argentina,3,595,0,0,0,0,0,0,0,0,0,4.569046728,3.083360891,2.391425185,1.859854273,2.108863118,1.83067723,2.691215729,2.566078164,2.322853148,1.660905942,1.709524335,6.868690817,6.758171748,5.6334298,5.153572812,5.02070564,5.335047583
32,690283,Crassostrea gigas,Buenos Aires,-57.479584,-37.814305,32,Argentina,3,85,0,0,0,0,0,0,0,0,0,6.092062304,5.395881558,7.174275556,6.46006917,3.321441008,2.266552761,5.113309885,5.132156327,4.645706294,3.908013981,1.789972538,2.212851423,3.003627742,2.503528482,2.319667843,2.787391304,3.626352212
32,690283,Crassostrea gigas,Chubut,-64.569581,-42.491527,32,Argentina,3,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,690283,Crassostrea gigas,Rio Negro,-65.156525,-40.96264,32,Argentina,3,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,690283,Crassostrea gigas,Tierra de Fuego,-66.981392,-54.172359,32,Argentina,3,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100039,Marine fishes not identified,New South Wales,152.5700489,-32.00990914,36,Australia,4,382,0,0,5.422791397,5.489883573,5.533319141,5.507916492,5.494195161,5.506125982,5.537157817,6.169447231,6.143378956,7.542147015,6.748091082,6.169993923,6.924345859,0,0,0,0,0,0,0,0,0,0,0
36,100039,Marine fishes not identified,Northern Territory,131.989494,-12.28431056,36,Australia,74,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.105274641,0,0,0,0
36,100039,Marine fishes not identified,Queensland,152.495707,-24.93095,36,Australia,65,479,5.278244966,5.343678597,5.422791396,5.489883573,5.533319141,5.507916493,0,0,0,6.169447233,6.143378956,7.542147016,6.748091083,6.169993922,6.924345859,0,0,0,0,0,0,0,0,0,0,0
36,100039,Marine fishes not identified,South Australia,137.2226554,-34.90255394,36,Australia,109,547,0,0,5.422791398,5.489883574,5.53331914,5.507916494,5.494195161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100039,Marine fishes not identified,Tasmania,147.0338085,-40.98834139,36,Australia,44,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100039,Marine fishes not identified,Victoria,143.990196,-38.55110216,36,Australia,80,626,5.278244966,5.343678597,5.422791398,5.489883574,5.533319142,5.507916493,5.494195161,5.506125983,5.537157816,6.169447231,6.143378955,7.542147017,6.748091085,6.169993923,6.924345859,0,0,0,0,0,0,0,0,0,0,0
36,100039,Marine fishes not identified,Western Australia,114.3980652,-28.32977824,36,Australia,103,644,0,0,0,0,0,0,0,5.506125983,5.537157817,6.169447232,6.143378955,7.542147016,6.748091083,6.169993923,6.92434586,0,0,0,0,0,0,0,0,0,0,0
36,100053,Oysters,New South Wales,152.5700489,-32.00990914,36,Australia,4,382,2.297012865,8.166919175,8.293208002,5.71966688,2.231866192,2.221620024,2.00078106,2.00927722,2.020274502,2.020558705,2.003476746,3.397704904,3.370721358,3.337128333,3.297631455,3.09789467,3.14913497,3.441660856,3.319977738,4.701339259,5.351876256,6.528428712,6.685322997,29.20081192,7.499395262,7.466296269
36,100053,Oysters,Northern Territory,131.989494,-12.28431056,36,Australia,74,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.219820065,0,0
36,100053,Oysters,Queensland,152.495707,-24.93095,36,Australia,65,479,2.297012866,8.166919178,8.293208003,5.71966688,2.231866192,2.221620024,2.000781059,2.009277219,2.020274502,2.020558704,2.003476746,3.397704904,0,0,0,0,0,0,0,0,Inf,6.260539015,6.661840187,7.36107429,7.101596363,7.516193767
36,100053,Oysters,South Australia,137.2226554,-34.90255394,36,Australia,109,547,2.297012865,8.166919177,8.293208002,5.71966688,2.231866191,2.221620024,2.000781059,2.00927722,2.020274502,2.020558704,2.003476746,3.397704906,3.370721358,3.337128334,3.297631455,3.09789467,3.149134969,3.441660856,3.319977738,4.701339259,3.64658588,3.785885253,3.836841819,4.227343397,4.45342113,5.835626999
36,100053,Oysters,Tasmania,147.0338085,-40.98834139,36,Australia,44,581,2.297012865,8.166919174,8.293208003,5.71966688,2.231866191,2.221620025,2.000781059,2.009277219,2.020274502,2.020558704,2.003476745,3.397704905,3.370721359,3.337128333,3.297631454,3.097894671,3.149134968,3.441660854,3.319977739,4.701339258,4.890449351,3.970743561,3.895812975,4.620867867,4.558126475,5.122783212
36,100053,Oysters,Victoria,143.990196,-38.55110216,36,Australia,80,626,0,0,8.293208003,5.71966688,2.231866191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100053,Oysters,Western Australia,114.3980652,-28.32977824,36,Australia,103,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100058,Miscellaneous marine molluscs,New South Wales,152.5700489,-32.00990914,36,Australia,4,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100058,Miscellaneous marine molluscs,Northern Territory,131.989494,-12.28431056,36,Australia,74,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100058,Miscellaneous marine molluscs,Queensland,152.495707,-24.93095,36,Australia,65,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100058,Miscellaneous marine molluscs,South Australia,137.2226554,-34.90255394,36,Australia,109,547,0,0,0,0,0,0,0,0,0,31.43326679,38.39594961,37.83146549,40.70273905,36.97541424,24.46840975,24.30047297,24.79409306,26.22475406,23.16006786,23.85333134,5.188247337,22.1184449,20.62180259,22.63582436,21.24983731,23.42210121
36,100058,Miscellaneous marine molluscs,Tasmania,147.0338085,-40.98834139,36,Australia,44,581,0,0,0,0,0,0,0,0,0,31.43326679,38.39594962,37.8314655,40.70273905,36.97541424,24.46840975,24.30047297,24.79409306,26.22475406,23.16006786,23.85333134,5.188247337,22.11844489,20.62180259,22.63582436,21.24983731,23.42210122
36,100058,Miscellaneous marine molluscs,Victoria,143.990196,-38.55110216,36,Australia,80,626,0,0,0,0,0,0,0,0,0,31.43326678,38.39594961,37.83146549,40.70273904,36.97541425,24.46840974,24.30047297,24.79409306,26.22475405,23.16006786,23.85333134,5.188247339,22.11844489,20.6218026,22.63582437,21.24983732,23.42210121
36,100058,Miscellaneous marine molluscs,Western Australia,114.3980652,-28.32977824,36,Australia,103,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100081,"Pearls, mother-of-pearl, shells",New South Wales,152.5700489,-32.00990914,36,Australia,4,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100081,"Pearls, mother-of-pearl, shells",Northern Territory,131.989494,-12.28431056,36,Australia,74,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100081,"Pearls, mother-of-pearl, shells",Queensland,152.495707,-24.93095,36,Australia,65,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100081,"Pearls, mother-of-pearl, shells",South Australia,137.2226554,-34.90255394,36,Australia,109,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100081,"Pearls, mother-of-pearl, shells",Tasmania,147.0338085,-40.98834139,36,Australia,44,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100081,"Pearls, mother-of-pearl, shells",Victoria,143.990196,-38.55110216,36,Australia,80,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100081,"Pearls, mother-of-pearl, shells",Western Australia,114.3980652,-28.32977824,36,Australia,103,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
