Year,EEZID,countrycode,GDP_SSP1,GDP_SSP3,GDP_SSP5,Population_SSP1,Population_SSP3,Population_SSP5,SeafoodConsumption_SSP1,SeafoodConsumption_SSP3,SeafoodConsumption_SSP5
1995,24,AGO,397.1794508,397.1794508,397.1794508,12130703,12130703,12130703,12.65722172,12.65722172,12.65722172
1996,24,AGO,522.6438073,522.6438073,522.6438073,12489836.6,12489836.6,12489836.6,13.63038703,13.63038703,13.63038703
1997,24,AGO,514.2952232,514.2952232,514.2952232,12848970.2,12848970.2,12848970.2,13.57128986,13.57128986,13.57128986
1998,24,AGO,423.5936602,423.5936602,423.5936602,13208103.8,13208103.8,13208103.8,12.8790484,12.8790484,12.8790484
1999,24,AGO,387.784316,387.784316,387.784316,13567237.4,13567237.4,13567237.4,12.57572439,12.57572439,12.57572439
2000,24,AGO,556.8363181,556.8363181,556.8363181,13926371,13926371,13926371,13.86546995,13.86546995,13.86546995
2001,24,AGO,527.3335285,527.3335285,527.3335285,14441899,14441899,14441899,13.66328238,13.66328238,13.66328238
2002,24,AGO,872.4944916,872.4944916,872.4944916,14957480,14957480,14957480,15.65173342,15.65173342,15.65173342
2003,24,AGO,982.9608993,982.9608993,982.9608993,15473016,15473016,15473016,16.16340674,16.16340674,16.16340674
2004,24,AGO,1255.564045,1255.564045,1255.564045,15988581,15988581,15988581,17.26701898,17.26701898,17.26701898
2005,24,AGO,1902.422346,1902.422346,1902.422346,16504200,16504200,16504200,19.31587865,19.31587865,19.31587865
2006,24,AGO,2599.566464,2599.566464,2599.566464,17083623.12,17083623.12,17083623.12,21.0137155,21.0137155,21.0137155
2007,24,AGO,3121.995637,3121.995637,3121.995637,17620293.65,17620293.65,17620293.65,22.07818739,22.07818739,22.07818739
2008,24,AGO,4080.94141,4080.94141,4080.94141,18156964.18,18156964.18,18156964.18,23.73302639,23.73302639,23.73302639
2009,24,AGO,3122.780766,3122.780766,3122.780766,18693634.72,18693634.72,18693634.72,22.07968547,22.07968547,22.07968547
